number,time2resolve,period
BKOP0105457,0,before
BKOP0105459,0,before
BKOP0105472,0,before
BKOP0105481,0,before
BKOP0105485,0,before
BKOP0105499,0,before
BKOP0105500,0,before
BKOP0105512,0,before
BKOP0105526,3,before
BKOP0105537,2,before
BKOP0105553,2,before
BKOP0105560,19,before
BKOP0105570,265,before
BKOP0105573,4,before
BKOP0105595,3,before
BKOP0105608,0,before
BKOP0105609,0,before
BKOP0105610,0,before
BKOP0105611,0,before
BKOP0105612,0,before
BKOP0105613,0,before
BKOP0105621,0,before
BKOP0105622,0,before
BKOP0105636,0,before
BKOP0105637,0,before
BKOP0105638,0,before
BKOP0105639,0,before
BKOP0105640,0,before
BKOP0105652,118,before
BKOP0105672,27,before
BKOP0105681,0,before
BKOP0105682,0,before
BKOP0105693,0,before
BKOP0105694,0,before
BKOP0105695,0,before
BKOP0105696,0,before
BKOP0105700,0,before
BKOP0105716,5,before
BKOP0105727,7,before
BKOP0105735,183,before
BKOP0105737,0,before
BKOP0105769,0,before
BKOP0105774,0,before
BKOP0105808,199,before
BKOP0105816,0,before
BKOP0105818,0,before
BKOP0105820,0,before
BKOP0105823,0,before
BKOP0105835,0,before
BKOP0105836,5,before
BKOP0105842,13,before
BKOP0105843,0,before
BKOP0105853,5,before
BKOP0105854,5,before
BKOP0105855,5,before
BKOP0105856,156,before
BKOP0105857,5,before
BKOP0105859,5,before
BKOP0105860,5,before
BKOP0105873,0,before
BKOP0105874,0,before
BKOP0105898,11,before
BKOP0105912,1,before
BKOP0105913,11,before
BKOP0105928,0,before
BKOP0105929,21,before
BKOP0105935,0,before
BKOP0105940,10,before
BKOP0105941,10,before
BKOP0105942,0,before
BKOP0105943,10,before
BKOP0105944,196,before
BKOP0105946,10,before
BKOP0105952,1,before
BKOP0105972,9,before
BKOP0105982,0,before
BKOP0105983,0,before
BKOP0106000,0,before
BKOP0106010,9,before
BKOP0106011,9,before
BKOP0106048,1,before
BKOP0106053,176,before
BKOP0106055,1,before
BKOP0106070,161,before
BKOP0106071,0,before
BKOP0106092,0,before
BKOP0106095,0,before
BKOP0106107,154,before
BKOP0106109,181,before
BKOP0106112,0,before
BKOP0106120,0,before
BKOP0106137,0,before
BKOP0106165,0,before
BKOP0106167,0,before
BKOP0106183,11,before
BKOP0106192,0,before
BKOP0106214,10,before
BKOP0106224,158,before
BKOP0106229,146,before
BKOP0106237,0,before
BKOP0106262,0,before
BKOP0106267,172,before
BKOP0106270,152,before
BKOP0106271,152,before
BKOP0106279,179,before
BKOP0106314,175,before
BKOP0106319,1,before
BKOP0106334,0,before
BKOP0106345,0,before
BKOP0106346,0,before
BKOP0106348,162,before
BKOP0106358,132,before
BKOP0106371,0,before
BKOP0106375,0,before
BKOP0106386,1,before
BKOP0106388,0,before
BKOP0106389,173,before
BKOP0106395,141,before
BKOP0106399,111,before
BKOP0106400,0,before
BKOP0106424,0,before
BKOP0106426,0,before
BKOP0106429,0,before
BKOP0106444,0,before
BKOP0106448,0,before
BKOP0106450,140,before
BKOP0106458,0,before
BKOP0106460,0,before
BKOP0106465,0,before
BKOP0106471,161,before
BKOP0106473,0,before
BKOP0106474,0,before
BKOP0106481,0,before
BKOP0106483,0,before
BKOP0106486,0,before
BKOP0106502,0,before
BKOP0106503,0,before
BKOP0106511,265,before
BKOP0106523,139,before
BKOP0106542,2,before
BKOP0106550,141,before
BKOP0106552,125,before
BKOP0106554,131,before
BKOP0106558,1,before
BKOP0106564,24,before
BKOP0106579,1,before
BKOP0106580,1,before
BKOP0106581,1,before
BKOP0106582,1,before
BKOP0106583,1,before
BKOP0106584,1,before
BKOP0106585,1,before
BKOP0106596,59,before
BKOP0106598,0,before
BKOP0106606,7,before
BKOP0106607,16,before
BKOP0106632,262,before
BKOP0106652,0,before
BKOP0106672,0,before
BKOP0106673,0,before
BKOP0106680,0,before
BKOP0106689,14,before
BKOP0106693,15,before
